#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	CHANGE_SCENE_SUCCESS	切换场景成功	Successful handovescenario
	UI_WELFARE_BAG_DESC2	B级英雄随机碎片*2\n\n龙甲符文*2\n\n金币*20000	Random Fragments of Class B Heroes*2nn Dragon Armor Rune*2nnn Gold Coin*20000
	UI_WELFARE_BAG_DESC3	A级英雄随机碎片*1\n\n星图能量*1\n\n金币*50000	Random Fragments of Class A Heroes*1nn Starmap Energy*1nnn Gold Coin*50 000
	UI_WELFARE_TITLE_ONLINE	在线奖励	Online rewards
	UI_WELFARE_TITLE_SEVEN	七日登陆	7 days landing
	UI_WELFARE_TITLE_CARD	月卡	Monthly card
	UI_WELFARE_TITLE_FUNDS	成长基金	Growth Fund
	UI_WELFARE_TITLE_ACTIVATION	激活码兑换	Activation Code Conversion
	UI_BUTTON_PVP_BACK	返回主城	Return to the main city
	UI_BUTTON_PVP_CONTINUE	再来一次	Once more
	UI_TEXT_PVP_KILL	{0}杀	{0} kill
	UI_TEXT_PVP_DPS	伤害{0}%	Damage {0}%
	UI_TEXT_NAME_6480	3240钻石	3240 diamonds
	UI_TEXT_NAME_3280	1640钻石	1640 Diamonds
	UI_TEXT_NAME_1680	840钻石	840 diamonds
	UI_TEXT_NAME_980	490钻石	490 diamonds
	UI_TEXT_NAME_580	290钻石	290 Diamonds
	UI_TEXT_NAME_300	150钻石	150 diamonds
	UI_TEXT_NAME_60	30钻石	30 Diamonds
	UI_WELFARE_CARD_CONTINUE	持续[00EE00FF]30[-]天	Continuous [00EE00FF] 30 [-] days
	UI_WELFARE_CARD_PRESENT	[1DF1FEFF]每日赠送[-][00EE00FF]{0}[-][1DF1FEFF]钻石[-]	[1DF1FEFF] Daily gift of [-][00EE00FF] {0}[-] [1DF1FEFF] diamonds [-]
	UI_WELFARE_CARD_WEAL	每日福利	Daily benefits
	UI_WELFARE_CARD_EASY	领取福利	Benefits
	UI_WELFARE_CARD_ACTIVATION	{0}元激活	{0} meta-activation
	UI_WELFARE_CARD_GET	还可领取{0}/30天	You can also receive {0}/30 days
	UI_TEXT_WEBLOGIN_FAIL_TIP	你的网络好像有点问题	There seems to be something wrong with your network.
	UI_TEXT_FUNCTION_OPEN_TASK	完成主线任务解锁	Complete Main Line Task Unlocking
	UI_TEXT_FUNCTION_OPEN_LEVEL	达到{0}级后解锁	Unlock after reaching {0} level
	UI_TEXT_TASK_GROWTH	成长任务	Growth Task
	UI_TEXT_TASK_DAY	每日任务	Daily tasks
	UI_TEXT_TASK_ACHIEVEMENT	成就任务	Achieving Tasks
	UI_TEXT_TASK_HIDDEN	隐藏任务	Hidden Tasks
	UI_TEXT_TASK_REWARD	任务奖励	Task Award
	UI_TEXT_TASK_COMPLETE	今日任务已完成	Today's task has been completed
	UI_TEXT_TASK_CONTINUE	点击继续	Click Continue
	UI_TEXT_TASK_CLICK	亲，请按照引导指示点击哦^_^	Kindly, please click on the guide instructions.^_^
	UI_TEXT_TASK_COMPLETION	[{0}/{1}]	[{0}/{1}]
	UI_TEXT_BOSS_UP	上一章节	Previous Chapter
	UI_TEXT_BOSS_DOWN	下一章节	Next chapter
	UI_TEXT_BOSS_OPENLEVEL	{0}级开放	Opening at {0} level
	UI_TEXT_BOSS_COMPLETE1	完成关卡，用时{0}分钟之内	Complete the checkpoint in {0} minutes
	UI_TEXT_BOSS_COMPLETE2	完成关卡，用时{0}分钟之内，复活不超过{0}次	Complete the checkpoint, take {0} minutes, no more than {0} resurrection times
	UI_TEXT_BOSS_COMPLETE3	用时{0}分钟之内，血量剩余{0}%	Within {0} minutes, blood volume remained {0}%
	UI_TEXT_BOSS_FIGHT	挑战次数	Number of challenges
	UI_TEXT_BOSS_FIGHTRANK	推荐战力	Recommended combat effectiveness
	UI_TEXT_TOWER_LEVEL	第{0}层	Layer {0}
	UI_TEXT_TOWER_RECORD	最高纪录：{0}	Highest record: {0}
	UI_TEXT_TOWER_REWARD	可能获得	Possible acquisition
	UI_TEXT_TOWER_FIGHT	挑战次数：{0}	Number of challenges: {0}
	UI_TEXT_TOWER_STOPSWEEP	结束扫荡	End the mopping up
	UI_TEXT_VIP_DESC	[F8D95AFF]VIP1[-]:每日首登赠送[00FF00FF]1W金币[-]，[32A5F8FF]10体力[-]\n[F8D95AFF]VIP2[-]:每日首登赠送[00FF00FF]2W金币[-]，[32A5F8FF]20体力[-]\n[F8D95AFF]VIP3[-]:每日首登赠送[00FF00FF]3W金币[-]，[32A5F8FF]30体力[-]\n[F8D95AFF]VIP4[-]:每日首登赠送[00FF00FF]5W金币[-]，[32A5F8FF]50体力[-]\n[F8D95AFF]VIP5[-]:每日首登赠送[00FF00FF]8W金币[-]，[32A5F8FF]80体力[-]\n[F8D95AFF]VIP6[-]:每日首登赠送[00FF00FF]12W金币[-]，[32A5F8FF]120体力[-]\n[F8D95AFF]VIP7[-]:每日首登赠送[00FF00FF]15W金币[-]，[32A5F8FF]150体力[-]\n[F8D95AFF]VIP8[-]:每日首登赠送[00FF00FF]18W金币[-]，[32A5F8FF]180体力[-]\n[F8D95AFF]VIP9[-]:每日首登赠送[00FF00FF]20W金币[-]，[32A5F8FF]200体力[-]\n[F8D95AFF]VIP10[-]:每日首登赠送[00FF00FF]24W金币[-]，[32A5F8FF]240体力[-]\n[F8D95AFF]VIP11[-]:每日首登赠送[00FF00FF]26W金币[-]，[32A5F8FF]260体力[-]\n[F8D95AFF]VIP12[-]:每日首登赠送[00FF00FF]30W金币[-]，[32A5F8FF]300体力[-]\n	[F8D95AFF]VIP1[-]:The first daily gift[00FF00FF]1W gold coin[-]，[32A5F8FF]10 physical strength[-]\n[F8D95AFF]VIP2[-]:The first daily gift[00FF00FF]2W gold coin[-]，[32A5F8FF]20 physical strength[-]\n[F8D95AFF]VIP3[-]:The first daily gift[00FF00FF]3W gold coin[-]，[32A5F8FF]30 physical strength[-]\n[F8D95AFF]VIP4[-]:The first daily gift[00FF00FF]5W gold coin[-]，[32A5F8FF]50 physical strength[-]\n[F8D95AFF]VIP5[-] :The first daily gift[00FF00FF]8W gold coin[-]，[32A5F8FF]80 physical strength[-]\n[F8D95AFF]VIP6[-]:The first daily gift[00FF00FF]12W gold coin[-]，[32A5F8FF]120 physical strength[-]\n[F8D95AFF]VIP7[-]:The first daily gift[00FF00FF]15W gold coin[-]，[32A5F8FF]150 physical strength[-]\n[F8D95AFF]VIP8[-]:The first daily gift[00FF00FF]18W gold coin[-]，[32A5F8FF]180 physical strength[-]\n[F8D95AFF]VIP9[-]:The first daily gift[00FF00FF]20W gold coin[-]，[32A5F8FF]200 physical strength[-]\n[F8D95AFF]VIP10[-]:The first daily gift[00FF00FF]24W gold coin[-]，[32A5F8FF]240 physical strength[-]\n[F8D95AFF]VIP11[-]:The first daily gift[00FF00FF]26W gold coin[-]，[32A5F8FF]260 physical strength[-]\n[F8D95AFF]VIP12[-]:The first daily gift[00FF00FF]30W gold coin[-]，[32A5F8FF]300 physical strength[-]\n
	UI_TEXT_MAIN_LINE	[主]	[main]
	UI_TEXT_REGIONAL	[支]	[branch]
	UI_TEXT_TOWER_INTRODUCTION	玩法说明：\n1.玩家每天有两次获得风暴之塔的参与机会，只有重置时才会消耗一次参与机会\n2.每轮参与中，通过的关卡数越多，可以获得的奖励越丰厚，在重置关卡时，可以领取本轮挑战的奖励\n3.每5关为一个BOSS关，首次通过BOSS关，可获得BOSS宝箱奖励	Play instructions: n1. Players have two opportunities to participate in the Storm Tower every day. Only when they reset, they will consume one chance to participate n2. In each round of participation, the more checkpoints they pass, the more rewards they can get. When they reset the checkpoint, they can get the reward of this round of challenge \ n3. Every five checkpoints are a BOSS checkpoint. For the first time, they can get the BOSS treasure box reward through the BOSS checkpoint.
	UI_TEXT_WORLD_TALK	[FFA200FF][世界][-]	[FFA 200 FF] [World][-]
	UI_TEXT_WORLD_SPEAK	[FFA200FF][世界][-][118CFFFF]系统[-]：欢迎来到虚空风暴，祝您游戏愉快！	[FFA200FF] [World] [-] [118CFFFF] System [-]: Welcome to the Void Storm, wish you a pleasant game!
	UI_TEXT_TOWER_INTRODUCTION_1	关卡说明：\n坚持生存一分钟	Statement: \n Adhere to Survival for One Minute
	UI_TEXT_TOWER_INTRODUCTION_2	关卡说明：\n陷阱丛生，击败守关的双斧兽人吧！	Gate description: n traps, defeat the guard of the double axe Orc bar!
	UI_TEXT_TOWER_INTRODUCTION_3	关卡说明：\n击败所有怪物！	Statement: Defeat all monsters!
	UI_TEXT_TOWER_INTRODUCTION_4	关卡说明：\n冰天雪地，击败所有怪物吧！	Statement: Ice and snow, defeat all the monsters!
	UI_TEXT_TOWER_INTRODUCTION_5	关卡说明：\n击败守关荆轲！	Statement of the checkpoint: Yin N defeats Jing Ke, the guard!
	UI_TEXT_BENEFITS	福利已领取	Benefits received
	UI_TEXT_CUMULATIVE_IN_SIGNIN	开启条件：累积签到达到{0}天	Opening condition: cumulative signature arrives in {0} days
	UI_TEXT_CONDITION_NO_FINISH	条件未达成	Conditions not reached
	UI_TEXT_WAITTIME_AFTER_CLAIM	{0}分钟后领取	Receive {0} minutes later
	UI_TEXT_ONLINEREWAED	累计在线时间达成可获得奖励	Accumulated online time is rewarded
	UI_TEXT_PLATENUMBER	审批文号:新广出审[2018]1239号  ISBN:978-7-498-04613-0  著作权人:罗城仫佬族自治县顶联科技有限责任公司  出版单位:北京中电电子出版社	Examination and Approval Number: ISBN: 978-7-498-04613-0 Copyright Owner of Xinguang 1239 [2018]: Publishing Unit of Dinglian Science and Technology Co., Ltd., Mulao Autonomous County, Luocheng: Beijing Zhongdian Electronic Publishing House
	UI_TEXT_TOMORROW_CLAIM	明日可领取	It will be available tomorrow.
	UI_TEXT_SEVENDAYLOGIN_REWARDS	七日登录	7 days login
	UI_TEXT_STOP_REG	该服已经停止注册，请移驾新服	This suit has stopped registering. Please move your new suit.
	UI_TEXT_MAINTENANC	服务器维护中...请稍后在试	Server maintenance... Please try later.
